,TEAM,Completions,Hucks,Offensive Holds,Defensive Breaks,Red Zone Possessions,Blocks,Turnovers,GAME_INFO
0,Detroit Mechanix,92% (239/257),50% (6/12),43% (13/30),40% (2/5),58% (7/12),7,19,2021-08-14-MIN-DET
0,Atlanta Hustle,92% (177/191),75% (6/8),40% (12/30),66% (6/9),84% (11/13),9,20,2021-08-14-ATL-RAL
0,Raleigh Flyers,94% (296/312),50% (5/10),59% (13/22),43% (7/16),83% (15/18),10,18,2021-08-14-ATL-RAL
0,New York Empire,94% (264/279),57% (4/7),53% (15/28),42% (3/7),60% (12/20),12,17,2021-08-29-NY-BOS
0,Boston Glory,92% (225/243),53% (7/13),62% (15/24),16% (2/12),68% (13/19),12,19,2021-08-29-NY-BOS
0,Dallas Legion,94% (239/254),50% (5/10),51% (15/29),60% (3/5),70% (12/17),5,16,2021-08-28-DAL-SD
0,San Diego Growlers,96% (235/244),87% (7/8),75% (15/20),53% (7/13),93% (14/15),11,10,2021-08-28-DAL-SD
0,Ottawa Outlaws,88% (165/186),60% (6/10),32% (11/34),25% (2/8),61% (8/13),13,29,2021-08-28-OTT-TOR
0,Toronto Rush,93% (243/261),100% (12/12),61% (13/21),42% (9/21),78% (15/19),16,20,2021-08-28-OTT-TOR
0,Madison Radicals,91% (258/282),60% (6/10),33% (9/27),37% (6/16),64% (11/17),10,28,2021-08-22-MAD-MIN
0,Minnesota Wind Chill,93% (259/278),77% (7/9),38% (10/26),56% (9/16),78% (11/14),13,23,2021-08-22-MAD-MIN
0,Montreal Royal,91% (183/199),72% (16/22),50% (18/36),66% (6/9),85% (6/7),6,20,2021-08-22-MTL-OTT
0,Ottawa Outlaws,95% (222/233),72% (8/11),68% (17/25),47% (8/17),92% (13/14),10,17,2021-08-22-MTL-OTT
0,Boston Glory,94% (255/270),66% (6/9),59% (16/27),54% (6/11),83% (15/18),8,16,2021-08-21-BOS-PHI
0,Philadelphia Phoenix,93% (208/223),66% (8/12),58% (17/29),20% (2/10),63% (7/11),5,19,2021-08-21-BOS-PHI
0,Toronto Rush,92% (204/221),100% (6/6),51% (16/31),58% (7/12),94% (17/18),8,20,2021-08-21-TOR-MTL
0,Montreal Royal,94% (220/232),86% (13/15),55% (16/29),69% (9/13),94% (16/17),13,17,2021-08-21-TOR-MTL
