,score,line,time_left,point_time,players,quarter
8,11-10,O-Line,05:01,25s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q2
9,12-10,D-Line,03:18,1m43s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q2
10,13-10,D-Line,02:24,54s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q2
11,14-10,D-Line,00:57,1m27s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q2
12,14-11,D-Line,00:17,40s,"Carpenter, Gross, Hardesty, Henderson, Hutton, Romard, Zetsch",q2
13,14-11,O-Line,00:00,17s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q2
0,15-11,O-Line,11:16,44s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q3
1,16-11,D-Line,10:52,24s,"Coniaris, Dynes, Hutton, Payne, Rae, Venegas, Zetsch",q3
2,17-11,D-Line,08:45,2m7s,"Ames, Cunningham, Curran, Ginet, Mcclure, Payne, Phillips",q3
3,18-11,D-Line,07:33,1m12s,"Carpenter, Gross, Hardesty, Hutton, Payne, Romard, Venegas",q3
4,18-12,D-Line,07:03,30s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q3
5,19-12,O-Line,06:35,28s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q3
6,20-12,D-Line,06:04,31s,"Dynes, Ginet, Hutton, Payne, Rae, Venegas, Zetsch",q3
7,21-12,D-Line,05:29,35s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q3
8,21-13,D-Line,04:56,33s,"Carpenter, Gross, Hardesty, Henderson, Hutton, Romard, Zetsch",q3
9,22-13,O-Line,04:02,54s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q3
10,22-14,D-Line,03:16,46s,"Ames, Coniaris, Cunningham, Curran, Mcclure, Payne, Phillips",q3
11,23-14,O-Line,02:32,44s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q3
12,23-15,D-Line,01:34,58s,"Coniaris, Dynes, Hutton, Payne, Rae, Venegas, Zetsch",q3
13,24-15,O-Line,00:32,1m2s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q3
14,24-16,D-Line,00:00,32s,"Ames, Cunningham, Curran, Ginet, Mcclure, Payne, Phillips",q3
0,24-17,D-Line,10:08,1m52s,"Coniaris, Dynes, Hutton, Payne, Rae, Venegas, Zetsch",q4
1,25-17,O-Line,09:07,1m1s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q4
2,25-18,D-Line,08:21,46s,"Ames, Cunningham, Curran, Ginet, Mcclure, Payne, Phillips",q4
3,26-18,O-Line,07:54,27s,"Carpenter, Gross, Hardesty, Henderson, Jacobs, Romard, Walsh",q4
4,26-19,D-Line,06:44,1m10s,"Curran, Dynes, Ginet, Hardesty, Payne, Venegas, Zetsch",q4
5,27-19,O-Line,05:32,1m12s,"Ames, Gross, Henderson, Jacobs, Payne, Romard, Walsh",q4
6,27-20,D-Line,04:20,1m12s,"Coniaris, Cunningham, Curran, Dynes, Mcclure, Phillips, Rae",q4
7,28-20,O-Line,03:11,1m9s,"Ames, Carpenter, Gross, Jacobs, Payne, Romard, Walsh",q4
8,28-21,D-Line,01:53,1m18s,"Curran, Dynes, Ginet, Hardesty, Mcclure, Rae, Zetsch",q4
9,29-21,O-Line,01:11,42s,"Ames, Carpenter, Gross, Jacobs, Payne, Romard, Walsh",q4
10,30-21,D-Line,00:19,52s,"Curran, Dynes, Ginet, Hardesty, Mcclure, Rae, Zetsch",q4
11,30-21,D-Line,00:00,19s,"Cunningham, Dynes, Hardesty, Mcclure, Phillips, Venegas, Zetsch",q4
0,0-1,D-Line,09:03,2m57s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
1,1-1,O-Line,08:09,54s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
2,1-2,D-Line,07:29,40s,"Alorro, M Drost, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton",q1
3,2-2,O-Line,06:21,1m8s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
4,2-3,D-Line,04:48,1m33s,"Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost, Stanton",q1
5,2-4,O-Line,03:33,1m15s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
6,3-4,O-Line,03:03,30s,"Chartock, Jagt, Katz, Kline, Lithio, Osgar, Williams",q1
7,4-4,D-Line,00:41,2m22s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
8,4-5,D-Line,00:16,25s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
9,5-5,O-Line,00:01,15s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
10,5-5,D-Line,00:00,,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q1
0,6-5,O-Line,10:46,1m14s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
1,7-5,D-Line,07:38,3m8s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
2,7-6,D-Line,06:46,52s,"Jagt, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q2
3,8-6,O-Line,05:51,55s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
4,8-7,D-Line,04:51,1m0s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
5,9-7,O-Line,03:25,1m26s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
6,10-7,D-Line,01:21,2m4s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
7,10-8,D-Line,00:22,59s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
8,10-8,O-Line,00:00,22s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q2
0,10-9,D-Line,10:56,1m4s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q3
1,10-10,O-Line,09:34,1m22s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
2,11-10,O-Line,07:46,1m48s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
3,12-10,D-Line,06:06,1m40s,"Alorro, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q3
4,12-11,D-Line,04:42,1m24s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q3
5,13-11,O-Line,02:59,1m43s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
6,13-12,D-Line,02:20,39s,"Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost, Stevens",q3
7,13-13,O-Line,00:22,1m58s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
8,14-13,O-Line,00:00,22s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q3
0,15-13,O-Line,10:34,1m26s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
1,15-14,D-Line,09:18,1m16s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
2,16-14,O-Line,08:08,1m10s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
3,16-15,D-Line,06:50,1m18s,"Alorro, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q4
4,17-15,O-Line,05:55,55s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
5,17-16,D-Line,05:15,40s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
6,18-16,O-Line,04:43,32s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
7,18-17,D-Line,03:24,1m19s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
8,18-18,O-Line,01:07,2m17s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
9,19-18,O-Line,00:00,1m7s,"Chartock, Jagt, Katz, Kline, Lithio, Osgar, Williams",q4
0,0-1,D-Line,09:03,2m57s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
1,1-1,O-Line,08:09,54s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
2,1-2,D-Line,07:29,40s,"Alorro, M Drost, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton",q1
3,2-2,O-Line,06:21,1m8s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
4,2-3,D-Line,04:48,1m33s,"Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost, Stanton",q1
5,2-4,O-Line,03:33,1m15s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q1
6,3-4,O-Line,03:03,30s,"Chartock, Jagt, Katz, Kline, Lithio, Osgar, Williams",q1
7,4-4,D-Line,00:41,2m22s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
8,4-5,D-Line,00:16,25s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q1
9,5-5,O-Line,00:01,15s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
10,5-5,D-Line,00:00,,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q1
0,6-5,O-Line,10:46,1m14s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
1,7-5,D-Line,07:38,3m8s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
2,7-6,D-Line,06:46,52s,"Jagt, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q2
3,8-6,O-Line,05:51,55s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
4,8-7,D-Line,04:51,1m0s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
5,9-7,O-Line,03:25,1m26s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q2
6,10-7,D-Line,01:21,2m4s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
7,10-8,D-Line,00:22,59s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q2
8,10-8,O-Line,00:00,22s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q2
0,10-9,D-Line,10:56,1m4s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q3
1,10-10,O-Line,09:34,1m22s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
2,11-10,O-Line,07:46,1m48s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
3,12-10,D-Line,06:06,1m40s,"Alorro, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q3
4,12-11,D-Line,04:42,1m24s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q3
5,13-11,O-Line,02:59,1m43s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
6,13-12,D-Line,02:20,39s,"Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost, Stevens",q3
7,13-13,O-Line,00:22,1m58s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q3
8,14-13,O-Line,00:00,22s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q3
0,15-13,O-Line,10:34,1m26s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
1,15-14,D-Line,09:18,1m16s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
2,16-14,O-Line,08:08,1m10s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
3,16-15,D-Line,06:50,1m18s,"Alorro, Olcese, Ouellette, Rueschemeyer-Bailey, S Feder, Stanton, Stevens",q4
4,17-15,O-Line,05:55,55s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
5,17-16,D-Line,05:15,40s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
6,18-16,O-Line,04:43,32s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
7,18-17,D-Line,03:24,1m19s,"Alorro, Babbitt, Brownlee, Katz, LeMar, M Drost, R Drost",q4
8,18-18,O-Line,01:07,2m17s,"Chartock, Jagt, Kline, Lithio, Osgar, Weaver, Williams",q4
9,19-18,O-Line,00:00,1m7s,"Chartock, Jagt, Katz, Kline, Lithio, Osgar, Williams",q4
0,1-0,D-Line,11:07,53s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
1,1-1,D-Line,10:02,1m5s,"Chun Moy, Jagt, Kline, LaBar, M'Bae Vogel, Olcese, S Feder",q1
2,2-1,O-Line,05:34,4m28s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
3,2-2,D-Line,03:43,1m51s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
4,3-2,O-Line,02:22,1m21s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
5,3-3,D-Line,01:44,38s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
6,4-3,O-Line,01:20,24s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
7,4-4,D-Line,00:19,1m1s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
8,4-5,O-Line,00:07,12s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
9,4-5,O-Line,00:00,7s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
0,5-5,O-Line,11:07,53s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q2
1,5-6,D-Line,07:47,3m20s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q2
2,6-6,O-Line,04:42,3m5s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q2
3,6-7,D-Line,02:15,2m27s,"Babbitt, Brownlee, Chartock, Katz, M Drost, Olcese, R Drost",q2
4,7-7,O-Line,01:25,50s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q2
5,7-8,D-Line,00:29,56s,"Chun Moy, Kline, LaBar, M'Bae Vogel, Olcese, S Feder, Weaver",q2
6,8-8,O-Line,00:04,25s,"Babbitt, Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q2
7,8-8,D-Line,00:00,4s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q2
0,8-9,D-Line,11:23,37s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q3
1,9-9,O-Line,10:52,31s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
2,9-10,D-Line,10:02,50s,"Chun Moy, Kline, LaBar, M'Bae Vogel, Olcese, S Feder, Weaver",q3
3,10-10,O-Line,09:13,49s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
4,10-11,D-Line,08:08,1m5s,"Alorro, Babbitt, Brownlee, Chartock, Kline, M Drost, R Drost",q3
5,10-12,O-Line,06:01,2m7s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
6,11-12,O-Line,04:52,1m9s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
7,11-13,D-Line,02:59,1m53s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q3
8,12-13,O-Line,00:30,2m29s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
9,12-13,D-Line,00:00,30s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q3
0,13-13,O-Line,11:09,51s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
1,13-14,D-Line,09:47,1m22s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q4
2,13-15,O-Line,08:13,1m34s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
3,14-15,O-Line,07:12,1m1s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
4,14-16,D-Line,05:31,1m41s,"Alorro, Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost",q4
5,15-16,O-Line,04:25,1m6s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
6,15-17,D-Line,03:29,56s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
7,16-17,O-Line,02:47,42s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
8,16-18,D-Line,01:51,56s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
9,16-19,O-Line,00:19,1m32s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
10,16-19,O-Line,00:00,19s,"Babbitt, Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
0,1-0,D-Line,11:07,53s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
1,1-1,D-Line,10:02,1m5s,"Chun Moy, Jagt, Kline, LaBar, M'Bae Vogel, Olcese, S Feder",q1
2,2-1,O-Line,05:34,4m28s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
3,2-2,D-Line,03:43,1m51s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
4,3-2,O-Line,02:22,1m21s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
5,3-3,D-Line,01:44,38s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
6,4-3,O-Line,01:20,24s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q1
7,4-4,D-Line,00:19,1m1s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q1
8,4-5,O-Line,00:07,12s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
9,4-5,O-Line,00:00,7s,"Babbitt, Jagt, Katz, Lithio, Osgar, Weaver, Williams",q1
0,5-5,O-Line,11:07,53s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q2
1,5-6,D-Line,07:47,3m20s,"Alorro, Babbitt, Brownlee, Chartock, Katz, M Drost, R Drost",q2
2,6-6,O-Line,04:42,3m5s,"Jagt, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Weaver, Williams",q2
3,6-7,D-Line,02:15,2m27s,"Babbitt, Brownlee, Chartock, Katz, M Drost, Olcese, R Drost",q2
4,7-7,O-Line,01:25,50s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q2
5,7-8,D-Line,00:29,56s,"Chun Moy, Kline, LaBar, M'Bae Vogel, Olcese, S Feder, Weaver",q2
6,8-8,O-Line,00:04,25s,"Babbitt, Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q2
7,8-8,D-Line,00:00,4s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q2
0,8-9,D-Line,11:23,37s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q3
1,9-9,O-Line,10:52,31s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
2,9-10,D-Line,10:02,50s,"Chun Moy, Kline, LaBar, M'Bae Vogel, Olcese, S Feder, Weaver",q3
3,10-10,O-Line,09:13,49s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
4,10-11,D-Line,08:08,1m5s,"Alorro, Babbitt, Brownlee, Chartock, Kline, M Drost, R Drost",q3
5,10-12,O-Line,06:01,2m7s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
6,11-12,O-Line,04:52,1m9s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
7,11-13,D-Line,02:59,1m53s,"Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost, Williams",q3
8,12-13,O-Line,00:30,2m29s,"Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Stevens, Williams",q3
9,12-13,D-Line,00:00,30s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q3
0,13-13,O-Line,11:09,51s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
1,13-14,D-Line,09:47,1m22s,"Alorro, Babbitt, Brownlee, Chartock, M Drost, R Drost, S Feder",q4
2,13-15,O-Line,08:13,1m34s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
3,14-15,O-Line,07:12,1m1s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
4,14-16,D-Line,05:31,1m41s,"Alorro, Babbitt, Brownlee, Jagt, Katz, M Drost, R Drost",q4
5,15-16,O-Line,04:25,1m6s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
6,15-17,D-Line,03:29,56s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
7,16-17,O-Line,02:47,42s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
8,16-18,D-Line,01:51,56s,"Alorro, Babbitt, Brownlee, Jagt, M Drost, R Drost, Williams",q4
9,16-19,O-Line,00:19,1m32s,"Jagt, Katz, Kline, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
10,16-19,O-Line,00:00,19s,"Babbitt, Jagt, Katz, Lithio, Osgar, Rueschemeyer-Bailey, Williams",q4
0,1-0,O-Line,11:26,34s,"Arters, Barker, Graffy, Janas, North, Shanahan, Shriwise",q1
1,1-1,D-Line,10:36,50s,"Alanguilan, Artemakis, Gibson, Goff, Kennedy, Schoch, Swanson",q1
2,2-1,O-Line,09:02,1m34s,"Barker, Graffy, Janas, Lake, North, Shanahan, Shriwise",q1
3,2-2,D-Line,06:06,2m56s,"Alanguilan, Artemakis, Gibson, Goff, Robinson, Schoch, Swanson",q1
4,2-3,O-Line,04:29,1m37s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q1
5,3-3,O-Line,02:49,1m40s,"Arters, Gibson, Goff, Graffy, Janas, North, Shriwise",q1
6,3-3,D-Line,00:00,2m49s,"Furse, Kaminsky, Kennedy, Robinson, Swanson, Tornabene, Vallee",q1
0,3-4,D-Line,11:22,38s,"Alanguilan, Artemakis, Gibson, Goff, Schoch, Swanson, Vallee",q2
1,4-4,O-Line,10:25,57s,"Arters, Barker, Graffy, Janas, Lake, North, Shriwise",q2
2,4-5,D-Line,09:50,35s,"Alanguilan, Artemakis, Gibson, Goff, Kaminsky, Robinson, Swanson",q2
3,5-5,O-Line,08:55,55s,"Arters, Graffy, Janas, Lake, North, Shanahan, Shriwise",q2
4,5-6,D-Line,06:08,2m47s,"Furse, Goff, Kaminsky, Kennedy, Robinson, Tornabene, Vallee",q2
5,6-6,O-Line,05:17,51s,"Arters, Barker, Graffy, Janas, North, Shanahan, Shriwise",q2
6,6-7,D-Line,02:41,2m36s,"Artemakis, Gibson, Goff, Kennedy, Schoch, Swanson, Vallee",q2
7,7-7,O-Line,01:17,1m24s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q2
8,7-8,D-Line,00:46,31s,"Arters, Barker, Gibson, Goff, North, Schoch, Swanson",q2
9,7-8,O-Line,00:00,46s,"Barker, Graffy, Janas, Lake, North, Shanahan, Shriwise",q2
0,8-8,O-Line,09:42,2m18s,"Arters, Barker, Graffy, Janas, Lake, North, Shanahan",q3
1,9-8,D-Line,07:54,1m48s,"Alanguilan, Artemakis, Gibson, Goff, Kennedy, Schoch, Swanson",q3
2,10-8,D-Line,04:59,2m55s,"Furse, Gibson, Graffy, Kaminsky, Robinson, Tornabene, Vallee",q3
3,10-9,D-Line,03:36,1m23s,"Alanguilan, Gibson, Graffy, Kaminsky, North, Robinson, Swanson",q3
4,11-9,O-Line,02:57,39s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
5,12-9,D-Line,01:35,1m22s,"Alanguilan, Artemakis, Gibson, Goff, Robinson, Schoch, Swanson",q3
6,12-10,D-Line,01:00,35s,"Gibson, Goff, Graffy, North, Schoch, Tornabene, Vallee",q3
7,13-10,O-Line,00:47,13s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q3
8,13-11,D-Line,00:18,29s,"Alanguilan, Gibson, Goff, Graffy, Schoch, Swanson, Tornabene",q3
9,13-11,O-Line,00:00,18s,"Arters, Barker, Goff, Janas, North, Shanahan, Shriwise",q3
0,13-12,D-Line,10:35,1m25s,"Furse, Gibson, Kaminsky, Kennedy, Robinson, Tornabene, Vallee",q4
1,14-12,O-Line,10:10,25s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q4
2,14-13,D-Line,08:58,1m12s,"Alanguilan, Artemakis, Gibson, Goff, Graffy, Schoch, Swanson",q4
3,15-13,O-Line,08:22,36s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q4
4,15-14,D-Line,07:42,40s,"Alanguilan, Artemakis, Gibson, Goff, Robinson, Schoch, Swanson",q4
5,16-14,O-Line,06:53,49s,"Barker, Graffy, Janas, Lake, North, Shanahan, Shriwise",q4
6,16-15,D-Line,06:18,35s,"Furse, Gibson, Kaminsky, Kennedy, Robinson, Tornabene, Vallee",q4
7,17-15,O-Line,04:52,1m26s,"Arters, Barker, Graffy, Janas, Lake, North, Shanahan",q4
8,17-16,D-Line,03:36,1m16s,"Alanguilan, Artemakis, Gibson, Goff, Kennedy, Schoch, Swanson",q4
9,18-16,O-Line,02:53,43s,"Arters, Graffy, Janas, Lake, North, Shanahan, Shriwise",q4
10,18-17,D-Line,02:13,40s,"Artemakis, Barker, Gibson, Goff, Kaminsky, Schoch, Vallee",q4
11,18-18,O-Line,01:08,1m5s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q4
12,18-19,O-Line,00:36,32s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q4
13,19-19,O-Line,00:02,34s,"Arters, Gibson, Janas, Lake, North, Shanahan, Shriwise",q4
14,19-19,D-Line,00:00,2s,"Arters, Gibson, Goff, Graffy, North, Schoch, Swanson",q4
0,19-20,D-Line,03:56,1m4s,"Artemakis, Gibson, Goff, Graffy, Schoch, Swanson, Vallee",q5
1,20-20,O-Line,02:23,1m33s,"Arters, Barker, Janas, Lake, North, Shanahan, Shriwise",q5
2,20-21,D-Line,00:19,2m4s,"Artemakis, Gibson, Goff, Graffy, Robinson, Schoch, Swanson",q5
3,20-21,O-Line,00:00,19s,"Arters, Gibson, Goff, Janas, North, Shanahan, Shriwise",q5
0,1-0,O-Line,11:26,34s,"Arters, Barker, Graffy, Janas, North, Shanahan, Shriwise",q1
