YEAR - TEAM,GAMES,POINTS_PLAYED,MINUTES,ASSISTSS,GOALS,BLOCKS,P/M,COMPLETIONS,COMPLETION_PERCENT,THROWING_YARDS,RECEIVING_YARDS,HOCKEY_ASSISTS,TURNS,STALLS,DROPS,CALLAHANS,HUCKS,HUCK_PERCENT,OFFESNIVE_PP,DEFENSIVE_PP,PULLS,PULL_PERCENT,PULL_HANGTIME,NAME,SEASON
2015 - NY,8,77,79,5,3,3,9,23,92,--,--,2,2,0,0,0,--,--,1,76,0,--,--,Joe Ouellette,regular season
2014 - NY,14,207,219,9,12,7,13,62,84.93,--,--,2,11,2,4,0,--,--,31,176,1,100,5.44,Joe Ouellette,regular season
2013 - NY,12,194,0,22,27,24,30,161,83.42,--,--,0,31,1,12,0,--,--,136,58,0,--,--,Joe Ouellette,regular season
2012 - CON,9,52,0,4,13,17,28,47,95.92,--,--,0,5,0,1,0,--,--,29,23,0,--,--,Joe Ouellette,regular season
Career,63,747,484,47,64,59,95,334,85.86,33,49,6,57,3,18,0,0,0,209,538,5,100,5.38,Joe Ouellette,regular season
2016 - NY,1,8,10,1,1,0,1,3,100,--,--,0,0,0,1,0,--,--,0,8,3,100,7.52,Joe Ouellette,post-season
2015 - NY,1,14,10,0,0,0,0,5,100,--,--,1,0,0,0,0,--,--,0,14,0,--,--,Joe Ouellette,post-season
2014 - NY,2,16,15,0,0,1,0,3,75,--,--,0,1,0,0,0,--,--,1,15,0,--,--,Joe Ouellette,post-season
2013 - NY,2,39,0,2,3,4,5,24,85.71,--,--,0,4,0,0,0,--,--,31,8,0,--,--,Joe Ouellette,post-season
Career,6,77,35,3,4,5,6,35,87.5,--,--,1,5,0,1,0,--,--,32,45,3,100,7.52,Joe Ouellette,post-season
2021 - DC,12,203,216,12,42,5,53,59,89.39,309,1800,5,4,0,2,0,1,20,182,21,0,--,--,Joe Richards,regular season
2019 - DC,4,77,89,2,5,6,12,14,87.5,--,--,2,1,0,0,0,--,--,25,52,0,--,--,Joe Richards,regular season
2018 - DC,8,133,111,5,14,15,30,29,90.63,--,--,1,3,0,1,0,--,--,24,109,1,50,--,Joe Richards,regular season
2017 - DC,6,90,91,1,8,7,5,13,65,--,--,2,7,0,4,0,--,--,12,78,0,--,--,Joe Richards,regular season
Career,30,503,508,20,69,33,100,115,85.82,309,1800,10,15,0,7,0,1,20,243,260,1,50,--,Joe Richards,regular season
2021 - DC,1,18,21,0,4,0,4,9,100,92,203,1,0,0,0,0,0,0,18,0,0,--,--,Joe Richards,post-season
2019 - DET,5,108,115,0,5,1,1,73,94.81,--,--,4,4,0,1,0,--,--,75,33,10,90.91,1.08,Joe Rogers,regular season
2016 - NY,3,28,36,1,0,3,1,51,94.44,--,--,3,3,0,0,0,--,--,20,8,0,--,--,Joe Santosus,regular season
2014 - NY,11,134,166,8,2,4,3,174,93.55,--,--,7,10,2,1,0,--,--,40,94,0,--,--,Joe Santosus,regular season
2013 - NY,12,180,0,14,12,11,6,394,93.14,--,--,0,28,1,3,0,--,--,92,88,0,--,--,Joe Santosus,regular season
Career,26,342,202,23,14,18,10,619,93.36,--,--,10,41,3,4,0,--,--,152,190,0,--,--,Joe Santosus,regular season
2013 - NY,2,38,0,3,0,3,3,74,96.1,--,--,0,3,0,0,0,--,--,32,6,0,--,--,Joe Santosus,post-season
