pull_type,time,pull_x,pull_y,thrower_id
PULL_INBOUNDS,7974.0,14.06,96.84,ghernande
PULL_INBOUNDS,12859.0,-26.67,54.02,jzhao
PULL_INBOUNDS,6056.0,-14.87,93.2,ccunningh
PULL_INBOUNDS,8473.0,-26.31,90.36,ghernande
PULL_INBOUNDS,7735.0,-0.73,98.59,gmartin1
PULL_INBOUNDS,10553.0,-25.94,69.83,ccunningh
PULL_INBOUNDS,5321.0,13.69,100.0,ghernande
PULL_INBOUNDS,7706.0,15.0,106.09,gmartin1
PULL_INBOUNDS,17930.0,-26.67,38.81,ccunningh
PULL_INBOUNDS,6683.0,13.18,99.99,gmartin1
PULL_INBOUNDS,6136.0,-5.47,86.5,mwuensch
PULL_INBOUNDS,8274.0,-13.48,97.42,ccunningh
PULL_INBOUNDS,8365.0,5.53,94.0,gmartin1
PULL_INBOUNDS,8034.0,12.09,100.0,gmartin1
PULL_INBOUNDS,7148.0,3.42,99.99,gmartin1
PULL_INBOUNDS,6173.0,14.57,100.0,ghernande
PULL_INBOUNDS,15967.0,26.59,44.92,ccunningh
PULL_INBOUNDS,14024.0,26.52,47.54,gmartin1
PULL_INBOUNDS,14265.0,26.08,52.93,gmartin1
PULL_INBOUNDS,6161.0,12.6,96.84,colson
PULL_INBOUNDS,6517.0,-1.32,99.99,gmartin1
PULL_INBOUNDS,11574.0,-26.67,39.97,jzhao
PULL_OUT_OF_BOUNDS,,0.0,73.39,ccunningh
PULL_INBOUNDS,7256.0,-18.58,90.21,ghernande
PULL_INBOUNDS,6382.0,0.29,100.92,gmartin1
PULL_INBOUNDS,15241.0,26.66,46.52,ccunningh
PULL_INBOUNDS,8796.0,17.92,93.27,jzhao
PULL_INBOUNDS,8047.0,-5.98,92.91,ccunningh
PULL_INBOUNDS,6776.0,10.56,100.0,gmartin1
PULL_INBOUNDS,7554.0,-2.99,102.96,jzhao
PULL_INBOUNDS,15992.0,-26.67,49.73,ccunningh
PULL_OUT_OF_BOUNDS,,0.0,80.0,gmartin1
PULL_INBOUNDS,8618.0,1.74,69.53,lramirez
PULL_INBOUNDS,7268.0,26.66,25.55,ccunningh
PULL_INBOUNDS,7870.0,3.86,96.91,sworthing
PULL_INBOUNDS,0.0,-2.63,106.31,pturner
PULL_INBOUNDS,6338.0,-10.5,95.16,cturner
PULL_INBOUNDS,0.0,-10.06,105.36,pturner
PULL_INBOUNDS,6287.0,18.72,103.03,iwallace
PULL_INBOUNDS,4714.0,-13.41,102.66,jhau
PULL_INBOUNDS,0.0,-0.37,106.16,pturner
PULL_INBOUNDS,6570.0,-11.23,92.18,ccampbell
PULL_OUT_OF_BOUNDS,,0.0,80.0,pturner
PULL_INBOUNDS,3713.0,0.94,91.38,jhau
